FECHA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24
10/03/2024;569,8202536;568,8202536;568,8202536;548,8202536;535,8202536;535,8202536;517,8202536;523,0902536;523,0902536;523,0902536;517,8202536;548,8202536;568,8202536;568,8202536;568,8202536;568,8202536;569,8202536;569,8202536;588,9312536;588,9312536;588,9312536;588,9312536;588,9312536;569,8202536
11/03/2024;545,2639991;524,6479991;518,2639991;518,2639991;518,2639991;545,2639991;545,2639991;545,2639991;545,2639991;545,2639991;545,2639991;545,2639991;545,2639991;569,2639991;570,2639991;579,3749991;579,3749991;579,3749991;579,3749991;629,2639991;629,2639991;579,3749991;570,2639991;549,2639991
12/03/2024;569,0184781;554,0184781;554,0184781;554,0184781;554,0184781;569,0184781;569,3184781;569,3184781;569,3184781;570,0184781;570,0184781;574,0184781;574,0184781;599,0274781;599,0274781;599,0274781;599,0274781;599,0274781;629,0184781;629,0184781;629,0184781;599,0274781;599,0274781;570,0184781
13/03/2024;567,8060063;569,1060063;567,8060063;567,8060063;567,8060063;569,1060063;569,1060063;569,8060063;569,8060063;569,8060063;570,0060063;570,0060063;570,0060063;570,0060063;570,0060063;573,8060063;574,8060063;573,8060063;574,8060063;653,8060063;575,8060063;573,8060063;570,0060063;570,0060063
14/03/2024;570,9949259;543,9949259;486,9949259;486,9949259;486,9949259;486,9949259;486,9949259;493,9949259;493,9949259;493,9949259;543,9949259;570,9949259;569,2949259;570,9949259;570,9949259;570,9949259;570,9949259;570,9949259;572,9949259;573,4949259;572,9949259;571,9949259;570,9949259;493,9949259
15/03/2024;551,9990552;551,9990552;551,9990552;497,6580552;551,9990552;551,9990552;551,9990552;569,2990552;571,9990552;551,9990552;551,9990552;551,9990552;551,9990552;551,9990552;569,2990552;571,9990552;571,9990552;571,9990552;572,9990552;572,9990552;572,9990552;571,9990552;551,9990552;551,9990552
16/03/2024;568,4872227;568,4872227;568,4872227;566,2872227;566,2872227;568,4872227;568,4872227;568,4872227;568,4872227;568,4872227;568,4872227;568,9872227;568,9872227;568,4872227;568,4872227;568,9872227;583,9872227;583,9872227;597,9872227;597,9872227;597,9872227;583,9872227;568,9872227;568,4872227
17/03/2024;590,1177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;568,6177907;589,1177907;589,1177907;568,6177907;589,1177907;590,1177907;596,1177907;598,1177907;598,1177907;598,1177907;598,1177907;598,1177907;598,1177907
18/03/2024;239,9841973;442,7281973;412,1141973;225,8871973;385,1141973;477,2241973;442,7281973;477,2241973;577,1141973;500,7731973;577,1141973;577,1141973;577,1141973;598,1141973;601,1141973;617,1141973;622,1141973;601,1141973;629,1141973;657,1141973;628,1141973;622,1141973;601,1141973;577,1141973
19/03/2024;595,7066551;574,7066551;574,7066551;570,7066551;574,7066551;595,7066551;595,7066551;598,7066551;598,7066551;608,7066551;608,7066551;625,7066551;625,7066551;626,7066551;626,7066551;649,7066551;649,7066551;626,7066551;649,7066551;654,7066551;649,7066551;630,7066551;598,7066551;595,7066551
20/03/2024;643,638939;630,438939;478,441939;552,438939;573,438939;630,438939;630,438939;630,438939;632,438939;630,438939;632,438939;632,438939;632,438939;632,438939;643,638939;643,638939;647,438939;643,638939;643,638939;647,438939;643,638939;643,638939;630,438939;630,438939
21/03/2024;659,0015585;642,1245585;642,1245585;642,1245585;642,1245585;659,0015585;659,0015585;642,1245585;642,1245585;642,1245585;642,1245585;659,0015585;659,0015585;659,0015585;659,0015585;659,0015585;659,0015585;659,0015585;666,0015585;669,0015585;669,0015585;659,0015585;659,0015585;642,1245585
22/03/2024;713,8140626;708,8140626;696,8140626;696,8140626;708,8140626;671,8140626;671,8140626;671,8140626;671,8140626;696,8140626;713,8140626;713,8140626;713,8140626;713,8140626;713,8140626;718,8140626;728,9370626;728,9370626;728,9370626;728,9370626;728,9370626;713,8140626;713,8140626;708,8140626
23/03/2024;773,9395794;719,1255794;719,1255794;719,1255794;719,1255794;719,1255794;465,2065794;638,9395794;719,1255794;638,9395794;719,1255794;719,1255794;719,1255794;719,1255794;719,1255794;719,1255794;719,1255794;719,1255794;798,9395794;798,9395794;773,9395794;773,9395794;719,1255794;719,1255794
24/03/2024;729,2252307;729,2252307;717,3292307;717,1292307;701,1292307;559,0622307;517,3882307;528,3972307;528,3972307;559,0622307;567,9112307;567,9112307;639,1292307;639,1292307;639,1292307;639,1292307;639,1292307;701,1292307;717,3292307;729,2252307;729,2252307;717,3292307;717,3292307;717,1292307
25/03/2024;787,8419994;758,8419994;719,8419994;719,8419994;658,8419994;658,8419994;658,8419994;658,8419994;658,8419994;658,8419994;718,8419994;719,8419994;719,8419994;719,8419994;719,8419994;719,8419994;758,8419994;723,8419994;838,8419994;848,8419994;848,8419994;838,8419994;787,8419994;758,8419994
26/03/2024;848,8077458;838,8077458;838,8077458;838,8077458;798,8077458;787,8077458;788,8077458;798,8077458;803,1777458;838,8077458;838,8077458;838,8077458;838,8077458;848,8077458;848,8077458;853,8077458;853,8077458;853,8077458;853,8077458;853,8077458;853,8077458;848,8077458;838,8077458;823,8077458
27/03/2024;993,7402371;988,7402371;858,7402371;858,7402371;858,7402371;858,7402371;858,7402371;858,7402371;858,7402371;858,7402371;858,7402371;988,7402371;858,7402371;988,7402371;988,7402371;988,7402371;993,7402371;993,7402371;1013,740237;1013,740237;1008,740237;858,7402371;858,7402371;858,7402371
28/03/2024;1004,611808;982,3298082;864,6118082;864,6118082;864,6118082;864,6118082;859,6118082;599,6118082;599,6118082;549,6118082;599,6118082;849,6118082;849,6118082;859,6118082;859,6118082;859,6118082;859,6118082;859,6118082;864,6118082;1015,734808;1015,734808;1015,734808;1015,734808;859,6118082
29/03/2024;859,2663677;823,7663677;823,7663677;823,7663677;823,7663677;823,7663677;787,7663677;787,7663677;689,1923677;648,7013677;689,1923677;797,0213677;823,7663677;823,7663677;823,7663677;823,7663677;823,7663677;849,7663677;859,2663677;859,2663677;859,2663677;859,2663677;859,2663677;859,2663677
30/03/2024;699,0533457;699,0533457;699,0533457;699,0533457;699,0533457;699,0533457;699,0533457;699,0533457;699,0533457;699,0533457;749,0533457;752,0533457;752,0533457;752,0533457;752,0533457;752,0533457;820,2583457;829,0533457;829,0533457;829,0533457;829,0533457;829,0533457;829,0533457;829,0533457
31/03/2024;749,4155119;699,2925119;698,2925119;689,2925119;689,2925119;689,2925119;689,2925119;689,2925119;689,2925119;689,2925119;689,2925119;689,2925119;689,2925119;698,2925119;698,2925119;698,2925119;699,2925119;749,4155119;751,2925119;751,2925119;751,2925119;751,2925119;749,4155119;749,4155119
