bdmem;objID2;fechaIni;fechaFin
CNSC;Sbm22263;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22264;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22265;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22266;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22267;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22268;2015-12-03 00:00:00.000;NULL
CNSC;Sbm22269;2015-12-03 00:00:00.000;NULL
CETC;Sbm08002;1995-07-20 00:00:00.000;NULL
CETC;Sbm08008;2023-04-26 00:00:00.000;NULL
CETC;Sbm08021;2023-04-26 00:00:00.000;NULL
CETC;Sbm08034;2023-04-26 00:00:00.000;NULL
CETC;Sbm08053;2023-04-26 00:00:00.000;NULL
CETC;Sbm08054;2023-04-26 00:00:00.000;NULL
CETC;Sbm08135;2023-07-13 00:00:00.000;NULL
CETC;Sbm08145;2023-06-08 00:00:00.000;NULL
CETC;Sbm08235;2023-04-26 00:00:00.000;2025-02-13 00:00:00.000
CETC;Sbm08289;2023-04-26 00:00:00.000;NULL
CETC;Sbm08290;2023-04-26 00:00:00.000;NULL
CETC;Sbm10038;2023-04-26 00:00:00.000;NULL
CETC;Sbm10214;2004-12-09 00:00:00.000;NULL
CETC;Sbm10216;2021-01-01 00:00:00.000;NULL
CETC;Sbm10218;2010-01-10 00:00:00.000;NULL
CETC;Sbm10219;2009-03-01 00:00:00.000;NULL
CETC;Sbm10223;2001-06-21 00:00:00.000;NULL
CETC;Sbm10225;2023-07-13 00:00:00.000;NULL
CETC;Sbm10226;2000-12-01 00:00:00.000;2024-11-07 00:00:00.000
CETC;Sbm10227;2001-03-06 00:00:00.000;NULL
CETC;Sbm10229;2001-11-03 00:00:00.000;NULL
CETC;Sbm10232;2004-12-01 00:00:00.000;NULL
CETC;Sbm10239;2008-06-24 00:00:00.000;NULL
CETC;Sbm10240;2008-10-05 00:00:00.000;NULL
CETC;Sbm10241;2009-12-12 00:00:00.000;NULL
CETC;Sbm12304;2023-04-26 00:00:00.000;NULL
CETC;Sbm12392;2023-04-26 00:00:00.000;NULL
CETC;Sbm16378;2023-04-26 00:00:00.000;NULL
CETC;Sbm16595;2023-04-26 00:00:00.000;NULL
CETC;Sbm16641;2023-04-26 00:00:00.000;NULL
CETC;Sbm17269;2023-04-26 00:00:00.000;NULL
CETC;Sbm17331;2023-04-26 00:00:00.000;NULL
CETC;Sbm17383;2023-04-26 00:00:00.000;NULL
CETC;Sbm17957;2023-06-15 00:00:00.000;NULL
CETC;Sbm17958;2023-08-01 00:00:00.000;NULL
CETC;Sbm18055;2023-04-26 00:00:00.000;NULL
CETC;Sbm18212;2023-04-26 00:00:00.000;NULL
CETC;Sbm18378;2013-07-11 00:00:00.000;NULL
CETC;Sbm19041;2023-04-26 00:00:00.000;NULL
CETC;Sbm19832;2023-04-26 00:00:00.000;NULL
CETC;Sbm19890;2023-04-26 00:00:00.000;2024-08-01 00:00:00.000
CETC;Sbm19892;2023-04-26 00:00:00.000;NULL
